month,open,high,low,last,change,settle,volume,openInterest
FEB 20,1.09175,1.09285,1.08695,1.08765,-.00560,1.08700,"1,765","2,510"
MAR 20,1.09400,1.09475,1.08870,1.08950,-.00560,1.08885,"188,168","595,604"
APR 20,1.09545,1.09640,1.09065,1.09135,-.00560,1.09075,"1,039","1,572"
MAY 20,1.09715,1.09850,1.09335,1.09350,-.00555,1.09305,14,175
JUN 20,1.09980,1.10065,1.09475,1.09550,-.00560,1.09485,"1,785","10,489"
SEP 20,1.10510,1.10635,1.10110,1.10125,-.00560,1.10060,367,954
DEC 20,1.11240,1.11240,1.10705,1.10705,-.00550,1.10620,53,"1,117"
MAR 21,-,-,1.11400,1.11400,-.00545,1.11195,2,21
JUN 21,-,-,-,-,-.00545,1.11720,0,1
SEP 21,-,-,-,-,-.00545,1.12245,0,1
DEC 21,-,-,-,-,-.00545,1.12770,0,0
MAR 22,-,-,-,-,-.00540,1.13295,0,0
JUN 22,-,-,-,-,-.00535,1.13825,0,0
SEP 22,-,-,-,-,-.00520,1.14400,0,0
DEC 22,-,-,-,-,-.00515,1.14930,0,0
MAR 23,-,-,-,-,-.00505,1.15420,0,0
JUN 23,-,-,-,-,-.00490,1.15995,0,0
SEP 23,-,-,-,-,-.00485,1.16525,0,0
DEC 23,-,-,-,-,-.00475,1.17055,0,0
MAR 24,-,-,-,-,-.00460,1.17590,0,0
JUN 24,-,-,-,-,-.00455,1.18120,0,0
SEP 24,-,-,-,-,-.00445,1.18650,0,0
DEC 24,-,-,-,-,-.00435,1.19185,0,0
Total,,,,,,,"193,193","612,444"
2,0,2,0,0,2,1,2
