month,open,high,low,last,change,settle,volume,openInterest
FEB 19,1.13420,1.13425,1.12685,1.12685,-.00625,1.12750,472,"2,063"
MAR 19,1.13595,1.13725,1.12910,1.12925,-.00630,1.13010,"173,449","519,141"
APR 19,1.13945,1.13960,1.13200,1.13200,-.00630,1.13295,334,927
MAY 19,1.14230,1.14230,1.13505,1.13505,-.00630,1.13560,124,336
JUN 19,1.14530,1.14565,1.13800,1.13800,-.00630,1.13900,571,"10,043"
SEP 19,1.15440,1.15450,1.14805A,1.14805A,-.00635,1.14790,55,"1,482"
DEC 19,1.15985,1.15985,1.15600,1.15600,-.00635,1.15680,21,"4,311"
MAR 20,-,1.17295B,1.16565A,1.16565A,-.00635,1.16605,6,320
JUN 20,1.17080,1.17560B,1.17080,1.17565B,-.00625,1.17465,1,2
SEP 20,-,-,-,-,-.00620,1.18325,0,2
DEC 20,-,-,-,-,-.00615,1.19185,0,0
MAR 21,-,-,-,-,-.00610,1.20015,0,0
JUN 21,-,-,-,-,-.00610,1.20775,0,0
SEP 21,-,-,-,-,-.00610,1.21535,0,0
DEC 21,-,-,-,-,-.00610,1.22300,0,0
MAR 22,-,-,-,-,-.00610,1.23060,0,0
JUN 22,-,-,-,-,-.00610,1.23820,0,0
SEP 22,-,-,-,-,-.00610,1.24640,0,0
DEC 22,-,-,-,-,-.00610,1.25405,0,0
MAR 23,-,-,-,-,-.00610,1.26105,0,0
JUN 23,-,-,-,-,-.00610,1.26925,0,0
SEP 23,-,-,-,-,-.00605,1.27690,0,0
DEC 23,-,-,-,-,-.00610,1.28450,0,0
Total,,,,,,,"175,033","538,627"
