month,open,high,low,last,change,settle,volume,openInterest
FEB 19,1.15000,1.15240,1.14580,1.14585,-.00510,1.14595,"2,225","4,365"
MAR 19,1.15250,1.15565,1.14775,1.14895,-.00510,1.14865,"232,798","507,994"
APR 19,1.15750,1.15760B,1.15120,1.15190,-.00510,1.15155,495,"1,117"
MAY 19,1.15650,1.16020B,1.15460A,1.15460A,-.00505,1.15425,167,60
JUN 19,1.16155,1.16460B,1.15685,1.15765,-.00515,1.15760,891,"9,254"
SEP 19,1.17340,1.17340,1.16770,1.16770,-.00535,1.16655,233,"1,186"
DEC 19,1.18090,1.18090,1.17530,1.17530,-.00550,1.17555,111,"4,304"
MAR 20,1.18580,1.19200B,1.18420A,1.18495B,-.00585,1.18470,29,247
JUN 20,-,-,-,-,-.00640,1.19300,0,0
SEP 20,-,-,-,-,-.00675,1.20150,0,0
DEC 20,-,-,-,-,-.00705,1.21000,0,0
MAR 21,-,-,-,-,-.00735,1.21805,0,0
JUN 21,-,-,-,-,-.00755,1.22560,0,0
SEP 21,-,-,-,-,-.00780,1.23310,0,0
DEC 21,-,-,-,-,-.00805,1.24060,0,0
MAR 22,-,-,-,-,-.00825,1.24815,0,0
JUN 22,-,-,-,-,-.00850,1.25565,0,0
SEP 22,-,-,-,-,-.00870,1.26375,0,0
DEC 22,-,-,-,-,-.00895,1.27125,0,0
MAR 23,-,-,-,-,-.00915,1.27820,0,0
JUN 23,-,-,-,-,-.00940,1.28630,0,0
SEP 23,-,-,-,-,-.00965,1.29380,0,0
DEC 23,-,-,-,-,-.00990,1.30130,0,0
Total,,,,,,,"236,949","528,527"
