month,open,high,low,last,change,settle,volume,openInterest
JAN 20,1.11350,1.11420,1.10875,1.10940,-.00485,1.10960,732,"1,923"
FEB 20,1.11335,1.11350,1.11150,1.11190,-.00485,1.11205,805,"2,085"
MAR 20,1.11870,1.11890,1.11305,1.11410,-.00485,1.11400,"141,854","529,665"
APR 20,-,-,1.11550,1.11585,-.00490,1.11595,0,205
JUN 20,1.12480,1.12505,1.11940,1.12075,-.00490,1.12030,151,"2,464"
SEP 20,1.12740,1.12750,1.12585,1.12625,-.00490,1.12655,12,688
DEC 20,1.13450,1.13450,1.13290,1.13290,-.00485,1.13265,22,662
MAR 21,-,-,1.14040,1.14040,-.00480,1.13870,0,5
JUN 21,-,-,-,-,-.00475,1.14470,0,0
SEP 21,-,-,-,-,-.00465,1.15075,0,1
DEC 21,-,-,-,-,-.00460,1.15680,0,0
MAR 22,-,-,-,-,-.00450,1.16280,0,0
JUN 22,-,-,-,-,-.00445,1.16880,0,0
SEP 22,-,-,-,-,-.00440,1.17525,0,0
DEC 22,-,-,-,-,-.00440,1.18120,0,0
MAR 23,-,-,-,-,-.00430,1.18675,0,0
JUN 23,-,-,-,-,-.00425,1.19320,0,0
SEP 23,-,-,-,-,-.00420,1.19920,0,0
DEC 23,-,-,-,-,-.00410,1.20520,0,0
MAR 24,-,-,-,-,-.00405,1.21120,0,0
JUN 24,-,-,-,-,-.00405,1.21715,0,0
SEP 24,-,-,-,-,-.00395,1.22315,0,0
DEC 24,-,-,-,-,-.00390,1.22915,0,0
Total,,,,,,,"143,576","537,698"
2,0,1,9,1,2,2,0
