month,open,high,low,last,change,settle,volume,openInterest
FEB 19,1.14370,1.14480B,1.14190,1.14235,-.00235,1.14215,"2,551","2,509"
MAR 19,1.14745,1.14800,1.14400,1.14435,-.00235,1.14485,"142,410","503,936"
APR 19,1.14780,1.15040B,1.14780,1.14780,-.00235,1.14775,494,911
MAY 19,1.15270,1.15310B,1.15060A,1.15060A,-.00240,1.15040,"1,822",71
JUN 19,1.15695,1.15695,1.15300,1.15320,-.00235,1.15385,267,"9,531"
SEP 19,-,-,-,-,-.00240,1.16280,94,"1,359"
DEC 19,1.17275,1.17275,1.17190,1.17190,-.00245,1.17180,98,"4,329"
MAR 20,1.18100,1.18405B,1.18045A,1.18125A,-.00250,1.18105,65,260
JUN 20,-,-,-,-,-.00250,1.18970,0,0
SEP 20,-,-,-,-,-.00255,1.19830,0,0
DEC 20,-,-,-,-,-.00265,1.20685,0,0
MAR 21,-,-,-,-,-.00270,1.21510,0,0
JUN 21,-,-,-,-,-.00285,1.22265,0,0
SEP 21,-,-,-,-,-.00295,1.23025,0,0
DEC 21,-,-,-,-,-.00315,1.23780,0,0
MAR 22,-,-,-,-,-.00325,1.24540,0,0
JUN 22,-,-,-,-,-.00340,1.25295,0,0
SEP 22,-,-,-,-,-.00355,1.26110,0,0
DEC 22,-,-,-,-,-.00370,1.26870,0,0
MAR 23,-,-,-,-,-.00380,1.27570,0,0
JUN 23,-,-,-,-,-.00395,1.28385,0,0
SEP 23,-,-,-,-,-.00410,1.29145,0,0
DEC 23,-,-,-,-,-.00425,1.29900,0,0
Total,,,,,,,"147,801","522,906"
