month,open,high,low,last,change,settle,volume,openInterest
MAR 19,1.13625,1.13965,1.13490,1.13610,+.00095,1.13750,"174,865","513,735"
APR 19,1.13975,1.14235,1.13800,1.13905,+.00090,1.14030,456,999
MAY 19,1.14275,1.14500,1.14095,1.14240A,+.00090,1.14295,316,537
JUN 19,1.14520,1.14820,1.14390,1.14485,+.00090,1.14630,"3,164","15,849"
JLY 19,-,-,-,-,+.00085,1.14900,0,0
SEP 19,1.15440,1.15680,1.15410,1.15680,+.00085,1.15510,79,"1,564"
DEC 19,1.16330,1.16500,1.16275,1.16500,+.00085,1.16400,27,"4,368"
MAR 20,1.17230,1.17495B,1.17070A,1.17185A,+.00075,1.17310,40,339
JUN 20,1.18100,1.18225B,1.18100,1.18105A,+.00055,1.18145,4,3
SEP 20,-,-,-,-,+.00035,1.18980,0,2
DEC 20,1.19600,1.19600,1.19500A,1.19600,+.00020,1.19820,46,0
MAR 21,-,-,-,-,+.00005,1.20635,0,0
JUN 21,-,-,-,-,UNCH,1.21380,0,0
SEP 21,-,-,-,-,UNCH,1.22125,0,0
DEC 21,-,-,-,-,+.00005,1.22875,0,0
MAR 22,-,-,-,-,UNCH,1.23620,0,0
JUN 22,-,-,-,-,UNCH,1.24365,0,0
SEP 22,-,-,-,-,UNCH,1.25170,0,0
DEC 22,-,-,-,-,UNCH,1.25915,0,0
MAR 23,-,-,-,-,UNCH,1.26605,0,0
JUN 23,-,-,-,-,UNCH,1.27410,0,0
SEP 23,-,-,-,-,UNCH,1.28155,0,0
DEC 23,-,-,-,-,UNCH,1.28905,0,0
Total,,,,,,,"178,997","537,396"
