month,open,high,low,last,change,settle,volume,openInterest
JLY 19,1.12705,1.12815,1.12640,1.12675,-.00065,1.12665,235,524
AUG 19,1.13050,1.13135,1.12875,1.12900,-.00130,1.12915,739,843
SEP 19,1.13285,1.13405,1.13090,1.13145,-.00130,1.13160,"104,102","512,756"
OCT 19,1.13410,1.13540B,1.13410,1.13410,-.00130,1.13405,303,832
DEC 19,1.14050,1.14160,1.13865A,1.13895,-.00125,1.13930,199,"4,742"
MAR 20,1.14850,1.14870,1.14730,1.14730,-.00125,1.14725,81,"7,727"
JUN 20,1.15420,1.15420,1.15420,1.15420,-.00130,1.15440,2,889
SEP 20,-,1.16355B,1.16090A,1.16115B,-.00140,1.16130,0,143
DEC 20,-,-,-,-,-.00140,1.16815,0,108
MAR 21,-,-,-,-,-.00140,1.17505,0,0
JUN 21,-,-,-,-,-.00140,1.18190,0,0
SEP 21,-,-,-,-,-.00140,1.18870,0,0
DEC 21,-,-,-,-,-.00145,1.19540,0,0
MAR 22,-,-,-,-,-.00145,1.20215,0,0
JUN 22,-,-,-,-,-.00150,1.20885,0,0
SEP 22,-,-,-,-,-.00150,1.21610,0,0
DEC 22,-,-,-,-,-.00150,1.22285,0,0
MAR 23,-,-,-,-,-.00150,1.22905,0,0
JUN 23,-,-,-,-,-.00160,1.23625,0,0
SEP 23,-,-,-,-,-.00155,1.24300,0,0
DEC 23,-,-,-,-,-.00160,1.24970,0,0
MAR 24,-,-,-,-,-.00160,1.25645,0,0
JUN 24,-,-,-,-,-.00165,1.26315,0,0
Total,,,,,,,"105,661","528,564"
2,0,1,9,0,7,1,5
