month,open,high,low,last,change,settle,volume,openInterest
FEB 20,1.10955,1.11160,1.10885,1.11150,-.00030,1.11105,"8,156","6,330"
MAR 20,1.11185,1.11355,1.11065,1.11305,-.00030,1.11295,"172,335","565,883"
APR 20,1.11345,1.11510,1.11310,1.11475,-.00030,1.11495,221,301
MAY 20,1.11640,1.11715,1.11550,1.11715,-.00030,1.11730,3,1
JUN 20,1.11850,1.11975,1.11700,1.11930,-.00030,1.11920,"2,070","8,028"
SEP 20,1.12405,1.12530,1.12370,1.12520,-.00035,1.12520,10,868
DEC 20,1.13045,1.13055,1.13020,1.13025,-.00040,1.13105,152,738
MAR 21,-,-,1.13725,1.13725,-.00045,1.13710,0,14
JUN 21,-,-,-,-,-.00045,1.14270,0,0
SEP 21,-,-,-,-,-.00050,1.14830,0,1
DEC 21,-,-,-,-,-.00050,1.15395,0,0
MAR 22,-,-,-,-,-.00050,1.15955,0,0
JUN 22,-,-,-,-,-.00050,1.16515,0,0
SEP 22,-,-,-,-,-.00050,1.17115,0,0
DEC 22,-,-,-,-,-.00050,1.17675,0,0
MAR 23,-,-,-,-,-.00045,1.18195,0,0
JUN 23,-,-,-,-,-.00050,1.18795,0,0
SEP 23,-,-,-,-,-.00050,1.19355,0,0
DEC 23,-,-,-,-,-.00050,1.19915,0,0
MAR 24,-,-,-,-,-.00045,1.20475,0,0
JUN 24,-,-,-,-,-.00045,1.21035,0,0
SEP 24,-,-,-,-,-.00045,1.21595,0,0
DEC 24,-,-,-,-,-.00045,1.22155,0,0
Total,,,,,,,"182,947","582,164"
2,0,2,0,0,1,2,2
