month,open,high,low,last,change,settle,volume,openInterest
MAR 20,1.07980,1.08785,1.07975,1.08615,+.00675,1.08720,"256,594","599,438"
APR 20,1.08250,1.08965,1.08190,1.08820,+.00675,1.08910,"1,076","1,813"
MAY 20,1.08480,1.09190,1.08410,1.09045,+.00675,1.09135,"1,155",464
JUN 20,1.08590,1.09375,1.08580,1.09215,+.00675,1.09310,"3,907","14,012"
JLY 20,-,-,-,-,+.00675,1.09485,0,0
SEP 20,1.09235,1.09890,1.09200,1.09815,+.00665,1.09870,166,"1,306"
DEC 20,1.09990,1.10405,1.09990,1.10385,+.00655,1.10410,37,"1,192"
MAR 21,-,1.10820,-,1.10820,+.00645,1.10965,1,21
JUN 21,-,1.11025,-,1.11025,+.00625,1.11455,0,4
SEP 21,-,-,-,-,+.00610,1.11950,0,1
DEC 21,-,-,-,-,+.00595,1.12445,0,0
MAR 22,-,-,-,-,+.00580,1.12940,0,0
JUN 22,-,-,-,-,+.00565,1.13435,0,0
SEP 22,-,-,-,-,+.00545,1.13970,0,0
DEC 22,-,-,-,-,+.00530,1.14465,0,0
MAR 23,-,-,-,-,+.00520,1.14925,0,0
JUN 23,-,-,-,-,+.00505,1.15460,0,0
SEP 23,-,-,-,-,+.00490,1.15955,0,0
DEC 23,-,-,-,-,+.00475,1.16455,0,0
MAR 24,-,-,-,-,+.00460,1.16950,0,0
JUN 24,-,-,-,-,+.00445,1.17445,0,0
SEP 24,-,-,-,-,+.00435,1.17945,0,0
DEC 24,-,-,-,-,+.00420,1.18440,0,0
Total,,,,,,,"262,936","618,251"
2,0,2,0,0,2,2,1
