month,open,high,low,last,change,settle,volume,openInterest
MAR 19,1.13185,1.13835,1.13005,1.13650,+.00435,1.13655,"281,351","516,722"
APR 19,1.13475,1.14100,1.13300,1.13940,+.00435,1.13940,492,981
MAY 19,1.13930,1.14345,1.13570,1.14180,+.00435,1.14205,325,407
JUN 19,1.14045,1.14705,1.13890,1.14550A,+.00440,1.14540,"2,237","15,206"
JLY 19,-,-,-,-,+.00435,1.14815,0,0
SEP 19,1.15160,1.15485,1.14910,1.15485,+.00430,1.15425,153,"1,509"
DEC 19,1.16115,1.16405,1.15900,1.16405,+.00430,1.16315,131,"4,399"
MAR 20,1.17035,1.17320B,1.16610A,1.17255A,+.00430,1.17235,46,335
JUN 20,-,1.17785B,-,1.17785B,+.00430,1.18090,0,3
SEP 20,-,-,-,-,+.00430,1.18945,0,2
DEC 20,-,-,-,-,+.00430,1.19800,0,0
MAR 21,-,-,-,-,+.00435,1.20630,0,0
JUN 21,-,-,-,-,+.00425,1.21380,0,0
SEP 21,-,-,-,-,+.00415,1.22125,0,0
DEC 21,-,-,-,-,+.00405,1.22870,0,0
MAR 22,-,-,-,-,+.00395,1.23620,0,0
JUN 22,-,-,-,-,+.00385,1.24365,0,0
SEP 22,-,-,-,-,+.00375,1.25170,0,0
DEC 22,-,-,-,-,+.00365,1.25915,0,0
MAR 23,-,-,-,-,+.00355,1.26605,0,0
JUN 23,-,-,-,-,+.00345,1.27410,0,0
SEP 23,-,-,-,-,+.00335,1.28155,0,0
DEC 23,-,-,-,-,+.00325,1.28905,0,0
Total,,,,,,,"284,735","539,564"
