month,open,high,low,last,change,settle,volume,openInterest
MAR 19,1.13550,1.13770,1.13360,1.13515,+.00015,1.13590,"139,254","502,718"
APR 19,1.13870,1.14010,1.13675,1.13795,+.00010,1.13865,217,"1,247"
MAY 19,1.14215,1.14215,1.14000A,1.14120A,+.00010,1.14125,37,495
JUN 19,1.14440,1.14630,1.14295,1.14400,+.00010,1.14460,"1,325","17,444"
JLY 19,-,-,-,-,+.00010,1.14730,0,0
SEP 19,1.15150,1.15350,1.15150,1.15350,+.00005,1.15335,85,"1,643"
DEC 19,1.16170,1.16270,1.16075,1.16270,UNCH,1.16215,33,"4,370"
MAR 20,1.17060,1.17295B,1.16940A,1.17065A,-.00010,1.17115,60,352
JUN 20,-,-,-,-,-.00025,1.17945,0,6
SEP 20,-,-,-,-,-.00045,1.18775,0,2
DEC 20,-,-,-,-,-.00060,1.19605,0,46
MAR 21,-,-,-,-,-.00070,1.20420,0,0
JUN 21,-,-,-,-,-.00075,1.21165,0,0
SEP 21,-,-,-,-,-.00075,1.21910,0,0
DEC 21,-,-,-,-,-.00080,1.22655,0,0
MAR 22,-,-,-,-,-.00085,1.23400,0,0
JUN 22,-,-,-,-,-.00085,1.24145,0,0
SEP 22,-,-,-,-,-.00085,1.24950,0,0
DEC 22,-,-,-,-,-.00090,1.25695,0,0
MAR 23,-,-,-,-,-.00095,1.26380,0,0
JUN 23,-,-,-,-,-.00095,1.27185,0,0
SEP 23,-,-,-,-,-.00095,1.27930,0,0
DEC 23,-,-,-,-,-.00100,1.28675,0,0
Total,,,,,,,"141,011","528,323"
