month,open,high,low,last,change,settle,volume,openInterest
MAR 20,1.12940,1.13695,1.12605,1.12735,-.00160,1.12840,"477,123","473,158"
APR 20,1.13170,1.13800,1.12795,1.12930,-.00160,1.12985,372,"1,603"
MAY 20,1.13685,1.13940,1.12950,1.13075,-.00165,1.13125,451,"2,973"
JUN 20,1.13320,1.14080,1.13000,1.13130,-.00160,1.13235,"301,134","177,084"
JLY 20,1.13340,1.13350,1.13340,1.13350,-.00165,1.13330,1,0
SEP 20,1.13780,1.14345,1.13350,1.13360,-.00170,1.13550,282,"2,483"
DEC 20,1.14260,1.14675,1.13695,1.13785,-.00170,1.13865,49,"1,586"
MAR 21,1.14535,1.14640,1.14100,1.14150,-.00210,1.14205,63,159
JUN 21,1.14300,1.14370,1.14230,1.14370,-.00215,1.14555,10,101
SEP 21,-,-,-,-,-.00225,1.14905,0,1
DEC 21,-,-,-,-,-.00235,1.15250,0,3
MAR 22,-,-,-,-,-.00245,1.15600,0,0
JUN 22,-,-,-,-,-.00230,1.16000,0,0
SEP 22,-,-,-,-,-.00220,1.16430,0,0
DEC 22,-,-,-,-,-.00210,1.16830,0,0
MAR 23,-,-,-,-,-.00200,1.17200,0,0
JUN 23,-,-,-,-,-.00190,1.17630,0,0
SEP 23,-,-,-,-,-.00180,1.18030,0,0
DEC 23,-,-,-,-,-.00165,1.18430,0,0
MAR 24,-,-,-,-,-.00155,1.18830,0,0
JUN 24,-,-,-,-,-.00145,1.19230,0,0
SEP 24,-,-,-,-,-.00135,1.19630,0,0
DEC 24,-,-,-,-,-.00125,1.20030,0,0
Total,,,,,,,"779,485","659,151"
2,0,2,0,0,3,1,1
