month,open,high,low,last,change,settle,volume,openInterest
MAR 20,1.11690,1.12230,1.10550,1.11100,-.01055,1.10725,"150,468","213,579"
APR 20,1.11880,1.12430,1.10750,1.11150,-.00970,1.10920,504,"1,518"
MAY 20,1.12125,1.12485,1.11000,1.11425,-.00910,1.11115,182,"3,050"
JUN 20,1.12070,1.12635,1.11100,1.11380,-.00915,1.11245,"315,387","507,035"
JLY 20,-,-,1.11870,1.11870,-.00890,1.11340,0,1
SEP 20,1.12500,1.12865,1.11420,1.11910,-.00885,1.11565,529,"2,510"
DEC 20,1.12320,1.12970,1.11650,1.11910,-.00920,1.11830,95,"1,588"
MAR 21,1.12150,1.12180,1.12150,1.12175,-.00940,1.12155,10,177
JUN 21,1.12305,1.12375,1.12305,1.12370,-.00970,1.12455,9,121
SEP 21,-,-,-,-,-.01000,1.12755,0,1
DEC 21,-,-,-,-,-.01025,1.13055,0,3
MAR 22,-,-,-,-,-.01055,1.13355,0,0
JUN 22,-,-,-,-,-.01035,1.13755,0,0
SEP 22,-,-,-,-,-.01010,1.14190,0,0
DEC 22,-,-,-,-,-.00995,1.14590,0,0
MAR 23,-,-,-,-,-.00975,1.14960,0,0
JUN 23,-,-,-,-,-.00950,1.15395,0,0
SEP 23,-,-,-,-,-.00930,1.15800,0,0
DEC 23,-,-,-,-,-.00910,1.16200,0,0
MAR 24,-,-,-,-,-.00890,1.16600,0,0
JUN 24,-,-,-,-,-.00870,1.17005,0,0
SEP 24,-,-,-,-,-.00850,1.17405,0,0
DEC 24,-,-,-,-,-.00825,1.17810,0,0
Total,,,,,,,"467,184","729,583"
2,0,2,0,0,3,1,3
