month,open,high,low,last,change,settle,volume,openInterest
JLY 20,1773.4,1784.2,1768.7,1781.8,+10.8,1784.0,215,"1,788"
AUG 20,1779.0,1791.7,1766.3,1787.0,+10.1,1790.0,"188,076","382,574"
SEP 20,1780.0,1797.5,1773.1,1793.4,+9.9,1795.8,27,56
OCT 20,1790.5,1802.5,1777.5,1798.1,+10.2,1801.0,"4,646","35,934"
DEC 20,1802.2,1814.0,1788.3,1809.0,+10.1,1812.0,"11,997","89,463"
FEB 21,1806.3,1820.6,1795.6,1816.9,+10.2,1819.3,"1,307","23,094"
APR 21,1799.0,1821.3,1798.8,1821.3,+10.3,1822.4,286,"5,713"
JUN 21,1811.2,1823.1,1803.1,1823.1,+10.3,1824.1,649,"6,196"
AUG 21,-,-,-,-,+10.2,1825.0,174,"2,643"
OCT 21,-,-,-,-,+10.2,1826.0,154,"1,783"
DEC 21,1823.9,1823.9,1823.9,1823.9,+10.3,1826.9,23,"4,787"
FEB 22,-,-,-,-,+10.3,1828.3,0,1
APR 22,-,-,-,-,+10.3,1830.2,0,0
JUN 22,-,-,-,-,+10.3,1835.8,0,64
DEC 22,-,-,-,-,+10.3,1844.7,0,47
JUN 23,-,-,-,-,+10.3,1854.1,0,7
DEC 23,-,-,-,-,+10.3,1863.4,0,6
JUN 24,-,-,-,-,+10.3,1872.9,0,2
DEC 24,-,-,-,-,+10.3,1882.0,0,15
JUN 25,-,-,-,-,+10.3,1890.8,0,0
DEC 25,-,-,-,-,+10.3,1899.9,0,0
JUN 26,-,-,-,-,+10.3,1908.9,0,0
Total,,,,,,,"207,554","554,173"
2,0,2,0,0,7,0,2
