month,open,high,low,last,change,settle,volume,openInterest
JUN 20,1766.0,1766.0,1764.7,1764.7,+10.4,1772.5,314,"1,422"
JLY 20,1768.2,1778.5,1748.4,1776.6,+10.2,1773.3,640,"4,378"
AUG 20,1774.8,1786.2,1754.0,1784.8,+9.7,1780.3,"202,154","376,338"
OCT 20,1783.7,1795.4,1763.5,1794.0,+10.1,1789.8,"2,086","34,589"
DEC 20,1792.5,1804.0,1772.0,1802.9,+10.1,1798.5,"5,088","80,781"
FEB 21,1793.9,1810.2,1778.8,1809.9,+10.2,1805.4,"1,049","21,333"
APR 21,1788.5,1813.3,1785.3,1813.3,+10.1,1808.2,286,"5,549"
JUN 21,1803.1,1814.5,1796.9,1814.5,+10.0,1809.9,528,"5,915"
AUG 21,1798.2,1814.0,1798.0,1814.0,+9.9,1810.8,95,"2,427"
OCT 21,-,-,-,-,+10.0,1812.0,70,"1,893"
DEC 21,1794.5,1794.5,1794.5,1794.5,+10.0,1813.0,93,"4,521"
FEB 22,-,-,-,-,+10.0,1814.4,0,1
APR 22,-,-,-,-,+10.0,1816.3,0,0
JUN 22,-,-,-,-,+10.0,1821.9,0,64
DEC 22,-,-,-,-,+10.0,1830.8,0,47
JUN 23,-,-,-,-,+10.0,1840.2,0,7
DEC 23,-,-,-,-,+10.0,1849.5,0,6
JUN 24,-,-,-,-,+10.0,1859.0,0,2
DEC 24,-,-,-,-,+10.0,1868.1,0,14
JUN 25,-,-,-,-,+10.0,1876.9,0,0
DEC 25,-,-,-,-,+10.0,1886.0,0,0
Total,,,,,,,"212,403","539,287"
2,0,2,0,0,6,2,6
