month,open,high,low,last,change,settle,volume,openInterest
FEB 21,1842.0,1876.0,1838.7,1845.4,+9.4,1847.3,"1,634","33,323"
MAR 21,1843.6,1877.2,1839.9,1849.0,+9.6,1849.0,"2,226","2,579"
APR 21,1845.6,1878.9,1841.2,1849.8,+9.1,1850.3,"278,597","404,825"
JUN 21,1847.6,1881.0,1844.1,1853.3,+9.0,1852.7,"7,005","55,405"
AUG 21,1847.6,1882.0,1847.6,1849.5,+8.9,1854.7,"1,911","16,811"
OCT 21,1851.9,1883.2,1851.2,1861.1,+8.6,1856.3,178,"7,613"
DEC 21,1852.7,1885.3,1851.3,1851.4,+8.4,1857.9,527,"11,888"
FEB 22,1856.7,1886.1,1856.7,1853.0,+8.2,1859.5,70,"3,386"
APR 22,1870.5,1870.5,1870.5,1855.0,+8.2,1862.1,6,33
JUN 22,1862.3,1877.4,1861.0,1855.8,+8.2,1862.5,11,129
AUG 22,-,-,-,1882.1,+8.2,1864.0,0,4
OCT 22,-,-,-,1881.3,+8.2,1867.7,0,0
DEC 22,-,-,-,1861.2,+8.2,1869.8,0,248
JUN 23,-,-,-,1886.5,+8.2,1879.2,0,9
DEC 23,-,-,-,1889.3,+8.2,1888.5,0,6
JUN 24,-,-,-,1892.5,+8.2,1898.0,0,2
DEC 24,-,1900.0,-,1901.6,+8.2,1907.1,0,9
JUN 25,-,-,-,-,+8.2,1915.9,0,0
DEC 25,-,-,-,-,+8.2,1925.0,0,2
JUN 26,-,-,-,-,+8.2,1934.0,0,0
DEC 26,-,-,-,-,+8.2,1943.0,0,0
Total,,,,,,,"292,165","536,272"
2,0,2,1,0,1,2,9
