month,open,high,low,last,change,settle,volume,openInterest
JUN 20,1755.2,1767.6,1750.5,1756.3,+10.8,1756.7,"1,356",927
JLY 20,1755.5,1771.0,1747.4,1757.5,+11.3,1758.4,"1,911","3,434"
AUG 20,1765.8,1779.0,1753.5,1764.3,+13.4,1766.4,"229,184","362,848"
OCT 20,1773.0,1786.3,1763.1,1772.6,+13.2,1774.2,"2,609","33,435"
DEC 20,1780.3,1793.6,1769.0,1780.2,+13.1,1781.7,"5,973","74,455"
FEB 21,1785.2,1800.6,1777.7,1788.8,+12.7,1788.9,"1,022","21,495"
APR 21,1787.0,1798.4,1783.1,1794.0,+12.8,1792.0,388,"5,542"
JUN 21,1793.0,1804.0,1787.6,1793.6,+12.6,1793.6,318,"5,844"
AUG 21,-,1798.0,-,1798.0,+12.6,1794.7,67,"2,155"
OCT 21,-,-,-,-,+12.6,1795.8,135,"1,843"
DEC 21,1793.5,1798.0,1792.8,1798.0,+12.4,1796.8,196,"4,378"
FEB 22,-,-,-,-,+12.4,1798.2,0,1
APR 22,-,-,-,-,+12.4,1800.1,0,0
JUN 22,-,-,-,-,+12.4,1805.7,24,43
DEC 22,-,-,-,-,+12.4,1814.6,0,47
JUN 23,1818.0,1818.0,1818.0,1818.0,+12.4,1824.0,1,7
DEC 23,-,-,-,-,+12.4,1833.3,0,6
JUN 24,-,-,-,-,+12.4,1842.8,0,2
DEC 24,1815.0,1820.0,1815.0,1815.0,+12.4,1851.9,3,10
JUN 25,-,-,-,-,+12.4,1860.7,0,0
DEC 25,-,-,-,-,+12.4,1869.8,0,0
Total,,,,,,,"243,187","516,472"
2,0,2,0,0,6,2,2
