month,open,high,low,last,change,settle,volume,openInterest
DEC 19,1474.7,1478.0,1472.3,1474.9,+2.9,1476.9,907,"2,267"
JAN 20,1477.6,1482.7,1475.9,1478.2,+2.8,1480.3,637,"3,877"
FEB 20,1480.0,1485.7,1478.0,1481.1,+2.9,1483.1,"240,547","512,984"
APR 20,1486.5,1491.0,1483.4,1486.3,+3.0,1488.6,"4,724","87,071"
JUN 20,1492.2,1495.9,1488.4,1491.2,+3.0,1493.6,"2,382","63,601"
AUG 20,1495.0,1500.7,1494.2,1498.2,+3.1,1498.6,"1,347","9,625"
OCT 20,1501.4,1504.1,1499.0,1504.1,+2.9,1503.1,93,"6,678"
DEC 20,1505.0,1508.0,1503.0,1505.2,+3.0,1507.5,231,"9,819"
FEB 21,1512.5,1512.7,1512.3,1512.5,+3.0,1511.8,30,535
APR 21,1513.8,1513.8,1513.8,1513.8,+3.0,1515.0,1,32
JUN 21,-,-,-,-,+3.0,1517.6,7,"1,697"
AUG 21,-,-,-,-,+3.0,1521.7,0,1
OCT 21,-,-,-,-,+3.0,1525.6,0,0
DEC 21,-,-,-,-,+2.8,1529.6,0,828
JUN 22,-,-,-,-,+2.8,1538.5,0,4
DEC 22,-,-,-,-,+2.8,1547.4,0,47
JUN 23,-,-,-,-,+2.8,1556.8,0,5
DEC 23,-,-,-,-,+2.8,1566.1,0,2
JUN 24,-,-,-,-,+2.8,1575.6,0,1
DEC 24,-,-,-,-,+2.8,1584.7,0,3
JUN 25,-,-,-,-,+2.8,1593.5,0,1
Total,,,,,,,"250,906","699,078"
2,0,1,9,1,2,0,5
