month,open,high,low,last,change,settle,volume,openInterest
MAR 20,1640.3,1642.5,1564.8,1582.2,-75.9,1564.1,289,774
APR 20,1646.1,1651.0,1564.0,1587.3,-75.8,1566.7,"751,013","506,861"
MAY 20,1626.1,1630.9,1569.1,1583.1,-76.0,1569.3,26,0
JUN 20,1651.7,1656.1,1569.1,1592.4,-76.4,1571.8,"67,093","118,375"
AUG 20,1657.0,1659.8,1573.7,1593.9,-77.0,1576.3,"9,639","33,370"
OCT 20,1659.0,1659.0,1578.0,1598.1,-77.5,1579.9,"2,129","10,916"
DEC 20,1667.1,1667.1,1582.0,1599.4,-77.8,1583.6,"6,310","34,644"
FEB 21,1665.0,1666.8,1585.8,1603.5,-78.6,1587.0,832,"11,401"
APR 21,1595.2,1617.8,1595.2,1604.1,-79.3,1589.7,564,"1,793"
JUN 21,1615.3,1615.3,1612.1,1612.1,-79.8,1592.6,364,"2,292"
AUG 21,-,-,-,-,-79.8,1596.6,0,49
OCT 21,1620.0,1620.0,1620.0,1620.0,-79.8,1600.5,1,0
DEC 21,1670.0,1670.0,1612.5,1620.0,-79.8,1604.5,95,"1,582"
JUN 22,-,-,-,-,-79.8,1613.4,0,4
DEC 22,1624.9,1635.0,1624.9,1635.0,-79.8,1622.3,1,44
JUN 23,1646.0,1646.0,1646.0,1646.0,-79.8,1631.7,1,6
DEC 23,-,-,-,-,-79.8,1641.0,0,2
JUN 24,-,-,-,-,-79.8,1650.5,0,1
DEC 24,-,-,1710.0,1710.0,-79.8,1659.6,0,6
JUN 25,-,-,-,-,-79.8,1668.4,0,0
DEC 25,-,-,-,-,-79.8,1677.5,0,0
Total,,,,,,,"838,357","722,120"
2,0,2,0,0,2,2,8
