month,open,high,low,last,change,settle,volume,openInterest
MAR 20,1670.8,1686.2,1647.2,1673.5,+4.4,1670.8,175,136
APR 20,1673.1,1692.8,1642.4,1674.2,+4.4,1672.4,"629,483","446,525"
MAY 20,1674.2,1692.3,1648.5,1676.0,+4.3,1674.3,405,91
JUN 20,1676.9,1696.5,1646.2,1678.7,+4.1,1676.1,"69,083","142,729"
AUG 20,1680.3,1698.3,1650.0,1681.8,+3.8,1679.3,"11,339","35,049"
OCT 20,1681.8,1698.0,1669.6,1680.8,+3.3,1681.3,"1,398","11,210"
DEC 20,1683.6,1703.6,1657.7,1685.2,+2.6,1683.0,"3,056","34,919"
FEB 21,1690.9,1700.5,1665.9,1685.1,+2.0,1685.1,546,"11,788"
APR 21,1696.0,1703.6,1686.3,1690.1,+1.9,1687.0,68,"1,980"
JUN 21,1687.4,1703.0,1687.4,1696.4,+2.0,1688.6,40,"2,551"
AUG 21,-,-,-,-,+1.1,1691.6,0,49
OCT 21,-,-,-,-,+.6,1695.0,0,6
DEC 21,1695.0,1699.5,1668.0,1699.5,+1.2,1695.8,24,"1,581"
JUN 22,-,-,-,-,+1.2,1704.7,0,4
DEC 22,1715.0,1715.0,1690.0,1690.0,+1.2,1713.6,1,48
JUN 23,1730.0,1730.0,1730.0,1730.0,+1.2,1723.0,1,6
DEC 23,-,-,-,-,+1.2,1732.3,0,2
JUN 24,-,-,-,-,+1.2,1741.8,0,1
DEC 24,-,-,-,-,+1.2,1750.9,0,6
JUN 25,-,-,-,-,+1.2,1759.7,0,0
DEC 25,-,-,-,-,+1.2,1768.8,0,0
Total,,,,,,,"715,619","688,681"
2,0,2,0,0,3,0,6
