month,open,high,low,last,change,settle,volume,openInterest
AUG 19,1497.5,1506.1,1497.5,1505.8,+4.2,1504.6,486,761
SEP 19,1497.6,1509.0,1494.9,1508.0,+4.2,1506.3,"1,601","3,595"
OCT 19,1501.1,1512.7,1497.0,1511.4,+4.2,1509.7,"4,745","46,588"
DEC 19,1506.3,1518.8,1503.0,1517.3,+4.1,1515.7,"248,324","442,702"
FEB 20,1511.2,1523.8,1509.2,1523.0,+4.1,1521.5,"3,094","45,775"
APR 20,1515.9,1528.5,1515.7,1528.2,+4.1,1526.4,656,"25,829"
JUN 20,1526.5,1532.1,1520.9,1530.4,+4.2,1530.4,122,"20,886"
AUG 20,1523.1,1535.1,1523.1,1534.6,+4.1,1534.3,10,"2,725"
OCT 20,1535.6,1535.6,1535.3,1535.3,+4.0,1537.8,10,397
DEC 20,1530.2,1540.7,1530.2,1540.7,+4.1,1541.3,174,"3,097"
FEB 21,-,-,-,-,+4.1,1545.0,0,27
APR 21,-,-,-,-,+4.0,1548.0,0,0
JUN 21,-,-,-,-,+4.0,1550.8,0,721
DEC 21,-,-,-,-,+3.8,1559.2,0,449
JUN 22,-,-,-,-,+3.6,1567.5,0,6
DEC 22,-,-,-,-,+3.4,1576.0,0,40
JUN 23,-,-,-,-,+3.0,1584.2,0,5
DEC 23,-,-,-,-,+2.5,1592.6,0,2
JUN 24,-,-,-,-,-1.1,1601.4,0,1
DEC 24,-,-,-,-,-1.1,1607.5,0,3
JUN 25,-,-,-,-,-1.1,1618.6,0,1
Total,,,,,,,"259,222","593,610"
2,0,1,9,0,8,2,0
