month,open,high,low,last,change,settle,volume,openInterest
SEP 19,1551.0,1551.1,1511.1,1516.5,-34.9,1515.4,125,56
OCT 19,1555.0,1555.5,1508.2,1520.6,-35.0,1519.0,"13,904","45,357"
NOV 19,1548.6,1554.9,1517.8,1523.8,-34.7,1522.5,30,10
DEC 19,1561.4,1561.9,1514.3,1527.1,-34.9,1525.5,"607,328","481,010"
FEB 20,1566.0,1567.0,1520.9,1532.0,-35.0,1531.5,"8,155","54,208"
APR 20,1572.5,1572.5,1532.1,1537.3,-35.0,1536.8,"2,202","29,313"
JUN 20,1575.0,1575.0,1532.1,1542.5,-34.9,1541.3,"1,180","23,836"
AUG 20,1574.0,1574.0,1542.0,1548.3,-34.8,1545.5,146,"3,871"
OCT 20,-,-,-,-,-34.7,1549.3,25,474
DEC 20,1579.5,1584.1,1544.9,1555.5,-34.5,1552.9,98,"4,010"
FEB 21,-,-,-,-,-34.5,1556.1,0,28
APR 21,-,-,-,-,-34.5,1558.8,0,30
JUN 21,-,-,-,-,-34.5,1561.4,0,818
DEC 21,1582.6,1582.6,1582.6,1582.6,-33.6,1570.2,1,480
JUN 22,-,-,-,-,-33.6,1577.4,0,6
DEC 22,-,-,-,-,-33.6,1584.9,0,44
JUN 23,-,-,-,-,-33.6,1592.0,0,5
DEC 23,-,-,-,-,-33.6,1599.9,0,2
JUN 24,-,-,-,-,-33.6,1607.9,0,1
DEC 24,-,-,-,-,-33.6,1616.0,0,3
JUN 25,-,-,-,-,-33.6,1627.1,0,1
Total,,,,,,,"633,194","643,563"
2,0,1,9,0,9,0,5
