month,open,high,low,last,change,settle,volume,openInterest
FEB 20,1657.0,1686.6,1657.0,1670.6,+27.8,1672.4,338,252
MAR 20,1651.0,1687.3,1651.0,1671.3,+28.4,1673.5,"2,450","1,992"
APR 20,1656.0,1691.7,1654.5,1673.9,+27.8,1676.6,"577,988","530,691"
JUN 20,1660.3,1697.0,1660.3,1679.9,+27.8,1682.4,"29,120","107,798"
AUG 20,1673.6,1702.0,1673.1,1685.4,+27.8,1687.7,"5,710","32,185"
OCT 20,1669.2,1705.7,1669.2,1692.3,+27.8,1692.3,970,"10,368"
DEC 20,1673.3,1711.8,1673.3,1694.1,+28.0,1697.1,"8,946","33,922"
FEB 21,1691.6,1714.0,1689.8,1701.7,+27.6,1701.5,"2,048","8,959"
APR 21,1707.4,1707.4,1707.4,1707.4,+27.7,1705.7,912,733
JUN 21,1700.3,1718.0,1700.3,1718.0,+27.5,1709.3,171,"2,451"
AUG 21,-,-,-,-,+27.2,1713.5,23,3
OCT 21,-,-,-,-,+27.2,1717.4,0,0
DEC 21,1700.0,1728.0,1700.0,1717.0,+27.2,1721.4,124,"1,033"
JUN 22,-,-,-,-,+27.2,1730.3,0,4
DEC 22,1740.0,1740.0,1740.0,1740.0,+27.2,1739.2,5,35
JUN 23,-,-,-,-,+27.2,1748.6,0,5
DEC 23,-,-,-,-,+27.2,1757.9,0,2
JUN 24,-,-,-,-,+27.2,1767.4,0,1
DEC 24,1780.1,1784.3,1780.1,1780.1,+27.2,1776.5,1,2
JUN 25,-,-,-,-,+27.2,1785.3,0,0
DEC 25,-,-,-,-,+27.2,1794.4,0,0
Total,,,,,,,"628,806","730,436"
2,0,2,0,0,2,2,4
