month,open,high,low,last,change,settle,volume,openInterest
APR 20,1629.1,1696.7,1625.9,1690.8,+43.3,1677.0,"1,063","1,906"
MAY 20,1639.7,1705.5,1628.1,1697.3,+46.4,1684.0,"1,471","2,149"
JUN 20,1647.7,1715.8,1638.2,1707.8,+48.2,1693.9,"193,691","354,372"
AUG 20,1648.1,1712.9,1638.2,1704.8,+46.7,1692.2,"9,411","55,940"
OCT 20,1645.0,1707.0,1645.0,1703.3,+46.5,1693.1,"1,672","12,047"
DEC 20,1649.5,1713.5,1639.7,1705.2,+46.6,1693.1,"4,073","41,059"
FEB 21,1652.0,1712.0,1642.1,1707.5,+46.2,1693.3,567,"9,842"
APR 21,1685.3,1688.6,1685.3,1688.6,+46.1,1693.7,110,"2,380"
JUN 21,1676.7,1709.2,1676.7,1709.2,+45.9,1694.3,76,"2,594"
AUG 21,-,-,-,-,+45.9,1696.0,4,70
OCT 21,-,-,-,-,+45.9,1698.1,0,11
DEC 21,1678.0,1697.7,1678.0,1697.7,+45.9,1698.6,26,"1,671"
FEB 22,-,-,-,-,+45.9,1700.0,0,0
JUN 22,-,-,-,-,+45.9,1707.5,0,18
DEC 22,-,-,-,-,+45.9,1716.4,0,46
JUN 23,1727.0,1727.0,1727.0,1727.0,+45.9,1725.8,1,6
DEC 23,-,-,-,-,+45.9,1735.1,0,2
JUN 24,1703.0,1735.2,1703.0,1735.2,+45.9,1744.6,2,2
DEC 24,-,-,-,-,+45.9,1753.7,0,6
JUN 25,-,-,-,-,+45.9,1762.5,0,0
DEC 25,-,-,-,-,+45.9,1771.6,0,0
Total,,,,,,,"212,167","484,121"
2,0,2,0,0,4,0,6
