month,open,high,low,last,change,settle,volume,openInterest
APR 20,1662.7,1732.5,1662.7,1715.5,+70.8,1736.2,825,811
MAY 20,1669.2,1739.7,1666.5,1724.8,+65.8,1739.9,"1,877","2,793"
JUN 20,1680.5,1754.5,1676.5,1740.6,+68.5,1752.8,"220,163","347,851"
AUG 20,1678.2,1753.5,1677.6,1740.2,+68.3,1752.1,"10,350","59,424"
OCT 20,1680.0,1753.2,1680.0,1729.4,+68.8,1752.9,"1,433","12,381"
DEC 20,1679.2,1754.3,1678.4,1741.3,+69.5,1753.6,"9,371","40,681"
FEB 21,1683.5,1753.4,1683.5,1734.5,+69.8,1753.4,643,"7,837"
APR 21,1733.3,1733.3,1733.3,1733.3,+69.8,1753.6,42,"2,356"
JUN 21,1704.0,1723.2,1703.9,1723.2,+69.8,1754.1,13,"2,599"
AUG 21,1747.5,1747.5,1747.5,1747.5,+69.6,1755.4,3,94
OCT 21,-,-,-,-,+69.4,1756.8,2,11
DEC 21,1693.0,1755.0,1693.0,1740.5,+69.4,1757.3,19,"1,639"
FEB 22,-,-,-,-,+69.4,1758.7,0,0
JUN 22,-,-,-,-,+69.4,1766.2,0,18
DEC 22,-,-,-,-,+69.4,1775.1,0,46
JUN 23,-,-,-,-,+69.4,1784.5,0,5
DEC 23,-,-,-,-,+69.4,1793.8,0,2
JUN 24,-,-,-,-,+69.4,1803.3,0,2
DEC 24,-,-,-,-,+69.4,1812.4,0,6
JUN 25,-,-,-,-,+69.4,1821.2,0,0
DEC 25,-,-,-,-,+69.4,1830.3,0,0
Total,,,,,,,"244,741","478,556"
2,0,2,0,0,4,0,9
