month,open,high,low,last,change,settle,volume,openInterest
MAR 20,1645.4,1645.9,1631.3,1635.6,-1.0,1641.1,51,495
APR 20,1640.1,1654.3,1632.6,1639.0,-1.4,1643.0,"285,169","460,877"
MAY 20,1646.5,1652.4,1635.5,1640.3,-1.4,1645.2,194,44
JUN 20,1643.0,1658.6,1637.4,1642.0,-1.7,1647.2,"26,241","133,641"
AUG 20,1650.0,1655.8,1641.0,1645.5,-1.9,1650.8,"1,515","34,675"
OCT 20,1655.0,1657.1,1648.2,1650.4,-2.1,1653.6,525,"11,148"
DEC 20,1660.1,1661.1,1647.3,1651.4,-2.3,1656.5,"3,317","33,477"
FEB 21,1660.0,1664.6,1655.0,1659.0,-2.4,1659.4,196,"11,637"
APR 21,1664.2,1664.5,1664.2,1664.2,-2.7,1661.4,38,"1,846"
JUN 21,1666.9,1668.1,1656.9,1656.9,-3.1,1663.0,66,"2,406"
AUG 21,-,-,-,-,-3.1,1666.9,0,49
OCT 21,-,-,-,-,-3.1,1670.8,0,6
DEC 21,-,-,-,-,-3.1,1672.5,0,"1,617"
JUN 22,-,-,-,-,-3.1,1681.4,0,4
DEC 22,-,-,1680.0,1680.0,-3.1,1690.3,0,48
JUN 23,-,-,-,-,-3.1,1699.7,0,6
DEC 23,-,-,-,-,-3.1,1709.0,0,2
JUN 24,-,-,-,-,-3.1,1718.5,0,1
DEC 24,-,-,-,-,-3.1,1727.6,0,6
JUN 25,-,-,-,-,-3.1,1736.4,0,0
DEC 25,-,-,-,-,-3.1,1745.5,0,0
Total,,,,,,,"317,312","691,985"
2,0,2,0,0,3,0,4
