month,open,high,low,last,change,settle,volume,openInterest
FEB 20,1606.5,1621.0,1603.0,1618.7,+9.1,1616.6,117,614
MAR 20,1610.9,1622.8,1603.8,1619.4,+8.6,1617.4,"2,794","2,797"
APR 20,1615.0,1626.5,1606.6,1622.3,+8.7,1620.5,"403,771","532,692"
JUN 20,1620.0,1632.0,1612.6,1627.8,+8.7,1626.2,"16,075","100,350"
AUG 20,1625.0,1636.5,1618.2,1633.1,+8.8,1631.5,"2,117","30,940"
OCT 20,1629.0,1641.1,1629.0,1637.6,+8.8,1636.2,639,"9,595"
DEC 20,1634.0,1645.5,1627.7,1643.6,+8.6,1640.8,"1,313","32,999"
FEB 21,1636.9,1648.5,1636.8,1647.8,+8.6,1645.6,165,"8,439"
APR 21,1641.4,1651.9,1641.4,1651.5,+8.6,1649.8,116,732
JUN 21,-,-,-,-,+8.5,1653.6,17,"2,438"
AUG 21,-,-,-,-,+8.5,1658.0,0,3
OCT 21,-,-,-,-,+8.5,1661.9,0,0
DEC 21,-,1660.0,-,1660.0,+8.5,1665.9,0,"1,031"
JUN 22,-,-,-,-,+8.5,1674.8,0,4
DEC 22,1683.0,1683.0,1683.0,1683.0,+8.5,1683.7,3,38
JUN 23,-,-,-,-,+8.5,1693.1,0,5
DEC 23,-,-,-,-,+8.5,1702.4,0,2
JUN 24,-,-,-,-,+8.5,1711.9,0,1
DEC 24,-,-,-,-,+8.5,1721.0,0,3
JUN 25,-,-,-,-,+8.5,1729.8,0,0
DEC 25,-,-,-,-,+8.5,1738.9,0,0
Total,,,,,,,"427,127","722,683"
2,0,2,0,0,2,2,0
