month,open,high,low,last,change,settle,volume,openInterest
SEP 19,1524.6,1530.4,1516.7,1522.1,-7.4,1519.1,276,"1,384"
OCT 19,1530.6,1535.7,1519.3,1523.0,-7.5,1523.0,"6,279","45,055"
NOV 19,-,-,-,-,-7.5,1526.2,0,0
DEC 19,1536.9,1541.9,1525.6,1529.2,-7.5,1529.4,"332,525","461,440"
FEB 20,1542.9,1547.8,1532.6,1535.4,-7.3,1535.7,"14,245","50,988"
APR 20,1548.1,1552.8,1539.9,1542.3,-7.2,1541.0,"1,692","28,273"
JUN 20,1551.9,1555.8,1543.3,1544.0,-7.1,1545.5,"1,338","22,734"
AUG 20,1554.7,1560.8,1554.6,1560.8,-7.0,1549.7,477,"3,735"
OCT 20,1558.9,1563.7,1553.2,1553.2,-6.9,1553.6,33,367
DEC 20,1564.1,1566.9,1555.0,1559.8,-6.8,1557.2,447,"3,613"
FEB 21,-,-,-,-,-6.8,1560.4,0,29
APR 21,-,-,-,-,-6.8,1563.1,0,0
JUN 21,-,-,-,-,-6.8,1565.7,10,801
DEC 21,-,-,-,-,-6.8,1574.2,15,465
JUN 22,-,-,-,-,-6.8,1581.4,0,6
DEC 22,-,-,-,-,-6.8,1588.9,0,44
JUN 23,-,-,-,-,-6.8,1596.0,0,5
DEC 23,-,-,-,-,-6.8,1603.9,0,2
JUN 24,-,-,-,-,-6.8,1611.9,0,1
DEC 24,-,-,-,-,-6.8,1620.0,0,3
JUN 25,-,-,-,-,-6.8,1631.1,0,1
Total,,,,,,,"357,337","618,946"
2,0,1,9,0,8,3,0
