month,open,high,low,last,change,settle,volume,openInterest
FEB 20,1579.8,1604.3,1579.8,1600.9,+17.3,1600.0,310,699
MAR 20,1581.2,1605.3,1579.2,1601.9,+17.2,1601.0,"2,682","2,644"
APR 20,1585.1,1608.2,1581.8,1604.5,+17.2,1603.6,"415,343","508,057"
JUN 20,1590.4,1613.8,1587.5,1610.0,+17.4,1609.3,"17,836","93,725"
AUG 20,1593.6,1618.7,1592.9,1615.9,+17.4,1614.5,"1,260","29,954"
OCT 20,1599.3,1620.2,1599.3,1619.1,+17.3,1619.3,561,"9,679"
DEC 20,1605.0,1628.3,1603.5,1626.2,+17.1,1624.0,"1,620","31,944"
FEB 21,1610.2,1631.1,1608.3,1628.1,+17.1,1628.8,"1,007","7,954"
APR 21,1617.3,1634.8,1617.3,1633.0,+16.9,1632.8,70,686
JUN 21,-,-,-,-,+16.8,1636.7,57,"2,079"
AUG 21,-,-,-,-,+17.0,1641.1,0,3
OCT 21,-,-,-,-,+17.0,1645.0,0,0
DEC 21,1628.6,1650.3,1628.6,1647.4,+17.0,1649.0,128,906
JUN 22,-,-,-,-,+17.0,1657.9,0,4
DEC 22,1668.0,1668.0,1668.0,1668.0,+17.0,1666.8,14,51
JUN 23,-,-,-,-,+17.0,1676.2,0,5
DEC 23,-,-,-,-,+17.0,1685.5,0,2
JUN 24,-,-,-,-,+17.0,1695.0,0,1
DEC 24,-,-,-,-,+17.0,1704.1,0,3
JUN 25,-,-,-,-,+17.0,1712.9,0,0
DEC 25,-,-,-,-,+17.0,1722.0,0,0
Total,,,,,,,"440,888","688,396"
2,0,2,0,0,2,1,8
