month,open,high,low,last,change,settle,volume,openInterest
MAR 20,1481.5,1491.6,1471.0,1476.0,+1.3,1478.6,262,133
APR 20,1487.2,1502.8,1460.1,1473.0,+1.4,1479.3,"326,039","227,425"
MAY 20,1476.9,1501.2,1468.1,1476.3,+1.9,1481.3,485,303
JUN 20,1489.7,1505.2,1462.8,1475.9,+1.7,1482.3,"64,991","225,850"
AUG 20,1485.0,1503.1,1466.0,1485.0,+2.0,1485.1,"5,948","46,242"
OCT 20,1496.8,1503.6,1476.6,1477.0,+2.2,1487.3,"1,620","12,107"
DEC 20,1496.6,1508.0,1476.9,1485.4,+2.3,1489.4,"2,206","35,679"
FEB 21,1497.2,1508.6,1474.7,1486.2,+2.5,1491.7,214,"11,509"
APR 21,-,-,-,-,+2.6,1493.6,14,"2,211"
JUN 21,1493.0,1502.0,1493.0,1493.0,+2.6,1495.3,17,"2,396"
AUG 21,-,-,-,-,+2.6,1497.2,0,50
OCT 21,1497.1,1497.1,1497.1,1497.1,+2.6,1499.3,1,6
DEC 21,1516.0,1516.0,1516.0,1516.0,+2.6,1500.1,159,"1,583"
JUN 22,1520.0,1520.0,1515.5,1515.5,+2.6,1509.0,2,9
DEC 22,-,-,-,-,+2.6,1517.9,0,45
JUN 23,-,-,-,-,+2.6,1527.3,0,5
DEC 23,-,-,-,-,+2.6,1536.6,0,2
JUN 24,-,-,-,-,+2.6,1546.1,0,1
DEC 24,-,-,-,-,+2.6,1555.2,0,6
JUN 25,-,-,-,-,+2.6,1564.0,0,0
DEC 25,-,-,-,-,+2.6,1573.1,0,0
Total,,,,,,,"401,958","565,562"
2,0,2,0,0,3,1,9
