month,open,high,low,last,change,settle,volume,openInterest
FEB 20,1644.0,1648.1,1634.3,1636.4,-6.9,1640.0,408,191
MAR 20,1636.4,1652.4,1624.4,1645.0,-6.6,1640.4,"1,969","1,448"
APR 20,1637.3,1657.1,1626.6,1648.8,-6.9,1643.1,"473,557","519,809"
JUN 20,1643.0,1662.7,1632.4,1655.3,-6.9,1648.9,"19,348","117,583"
AUG 20,1652.6,1667.2,1639.5,1657.4,-7.0,1654.0,"5,332","31,857"
OCT 20,1658.0,1664.1,1648.9,1658.2,-7.1,1658.5,954,"11,979"
DEC 20,1656.4,1676.7,1646.7,1669.8,-7.3,1662.9,"3,128","34,069"
FEB 21,1675.5,1675.5,1660.8,1666.9,-7.4,1667.3,647,"10,623"
APR 21,1677.6,1677.6,1677.6,1677.6,-7.9,1670.8,17,"1,723"
JUN 21,-,-,-,-,-8.2,1674.1,33,"2,308"
AUG 21,-,-,-,-,-8.2,1678.2,20,24
OCT 21,-,-,-,-,-8.2,1682.1,0,0
DEC 21,1698.0,1698.0,1671.1,1686.4,-8.2,1686.1,29,"1,242"
JUN 22,-,-,-,-,-8.2,1695.0,0,4
DEC 22,1700.0,1700.0,1700.0,1700.0,-8.2,1703.9,1,43
JUN 23,-,-,-,-,-8.2,1713.3,0,5
DEC 23,-,-,-,-,-8.2,1722.6,0,2
JUN 24,-,-,-,-,-8.2,1732.1,0,1
DEC 24,-,-,-,-,-8.2,1741.2,0,6
JUN 25,-,-,-,-,-8.2,1750.0,0,0
DEC 25,-,-,-,-,-8.2,1759.1,0,0
Total,,,,,,,"505,443","732,917"
2,0,2,0,0,2,2,6
