month,open,high,low,last,change,settle,volume,openInterest
AUG 19,1496.0,1514.9,1488.1,1512.2,+8.7,1505.3,257,"2,385"
SEP 19,1499.1,1519.3,1488.8,1512.9,+9.1,1507.7,"3,569","3,791"
OCT 19,1502.9,1525.2,1492.4,1516.1,+8.9,1510.9,"6,934","46,565"
DEC 19,1509.2,1531.5,1498.6,1522.3,+8.7,1517.2,"355,622","451,620"
FEB 20,1514.5,1534.7,1505.5,1529.0,+8.7,1523.2,"3,068","47,573"
APR 20,1517.5,1541.0,1511.0,1534.3,+8.7,1528.1,"2,281","21,268"
JUN 20,1520.0,1538.4,1520.0,1537.8,+8.7,1532.0,"1,197","18,567"
AUG 20,1521.5,1534.8,1521.5,1534.8,+8.5,1535.9,30,"2,353"
OCT 20,-,-,-,-,+8.4,1539.5,0,146
DEC 20,1536.0,1550.1,1526.4,1550.1,+8.5,1543.0,155,"2,627"
FEB 21,-,-,-,-,+8.5,1546.7,0,27
APR 21,-,-,-,-,+8.5,1550.0,0,0
JUN 21,-,-,-,-,+8.5,1553.2,0,721
DEC 21,-,-,-,-,+8.5,1563.8,0,449
JUN 22,-,-,-,-,+8.5,1574.5,0,6
DEC 22,-,-,-,-,+8.5,1585.2,0,40
JUN 23,-,-,-,-,+8.5,1595.4,0,5
DEC 23,-,-,-,-,+8.5,1606.3,0,2
JUN 24,-,-,-,-,+8.5,1618.7,0,1
DEC 24,-,-,-,-,+8.5,1629.2,0,3
JUN 25,-,-,-,-,+8.5,1640.3,0,1
Total,,,,,,,"373,113","598,150"
2,0,1,9,0,8,1,2
