month,open,high,low,last,change,settle,volume,openInterest
MAR 20,1641.1,1658.0,1638.5,1641.2,-.4,1640.0,707,890
APR 20,1643.0,1662.5,1636.7,1646.5,-.6,1642.5,"562,667","514,644"
MAY 20,-,-,-,-,0,1645.3,0,0
JUN 20,1649.9,1668.2,1642.4,1651.8,-.7,1648.2,"21,973","116,605"
AUG 20,1652.9,1672.0,1649.8,1655.3,-.7,1653.3,"7,995","32,342"
OCT 20,1668.1,1671.6,1657.2,1657.5,-1.1,1657.4,842,"11,404"
DEC 20,-,1680.3,1656.0,1660.4,-1.5,1661.4,"3,599","33,981"
FEB 21,1674.8,1678.2,1661.0,1661.0,-1.7,1665.6,312,"11,050"
APR 21,1679.0,1684.4,1670.0,1670.0,-1.8,1669.0,129,"1,731"
JUN 21,1682.4,1682.4,1682.4,1682.4,-1.7,1672.4,82,"2,263"
AUG 21,-,-,-,-,-1.8,1676.4,5,44
OCT 21,-,-,-,-,-1.8,1680.3,0,0
DEC 21,-,-,-,-,-1.8,1684.3,5,"1,380"
JUN 22,-,-,-,-,-1.8,1693.2,0,4
DEC 22,-,-,-,-,-1.8,1702.1,0,44
JUN 23,1721.0,1721.0,1721.0,1721.0,-1.8,1711.5,2,5
DEC 23,-,-,-,-,-1.8,1720.8,0,2
JUN 24,-,-,-,-,-1.8,1730.3,0,1
DEC 24,-,-,-,-,-1.8,1739.4,0,6
JUN 25,-,-,-,-,-1.8,1748.2,0,0
DEC 25,-,-,-,-,-1.8,1757.3,0,0
Total,,,,,,,"598,318","726,396"
2,0,2,0,0,2,2,7
