month,open,high,low,last,change,settle,volume,openInterest
JLY 20,1.13155,1.13300,1.12535,1.12545,-.00530,1.12640,498,"10,973"
AUG 20,1.13245,1.13390,1.12625,1.12635,-.00530,1.12730,138,"1,233"
SEP 20,1.13300,1.13470,1.12690,1.12715,-.00530,1.12800,"173,609","568,569"
OCT 20,-,1.13520,1.12830,1.12830,-.00535,1.12890,0,0
DEC 20,1.13555,1.13705,1.12930,1.12945,-.00535,1.13035,357,"2,636"
MAR 21,1.13885,1.13960,1.13220,1.13220,-.00540,1.13310,6,713
JUN 21,-,1.14110,1.13515,1.13515,-.00535,1.13550,0,849
SEP 21,1.13710,1.14330,1.13635,1.13740,-.00525,1.13795,132,171
DEC 21,1.14050,1.14100,1.14030,1.14030,-.00540,1.14050,35,277
MAR 22,-,-,-,-,-.00540,1.14300,0,0
JUN 22,-,-,-,-,-.00545,1.14550,0,0
SEP 22,-,-,-,-,-.00555,1.14875,0,0
DEC 22,-,-,-,-,-.00565,1.15190,0,0
MAR 23,-,-,-,-,-.00575,1.15475,0,0
JUN 23,-,-,-,-,-.00580,1.15815,0,0
SEP 23,-,-,-,-,-.00590,1.16130,0,0
DEC 23,-,-,-,-,-.00600,1.16440,0,0
MAR 24,-,-,-,-,-.00605,1.16755,0,0
JUN 24,-,-,-,-,-.00620,1.17065,0,0
SEP 24,-,-,-,-,-.00625,1.17380,0,0
DEC 24,-,-,-,-,-.00630,1.17695,0,0
MAR 25,-,-,-,-,-.00645,1.18005,0,0
JUN 25,-,-,-,-,-.00650,1.18320,0,0
Total,,,,,,,"174,775","585,421"
2,0,2,0,0,6,2,4
