month,open,high,low,last,change,settle,volume,openInterest
JAN 21,1.23050,1.23520,1.22690,1.23335,+.00045,1.23115,"1,761","2,104"
FEB 21,1.23075,1.23600,1.22770,1.23335,+.00040,1.23190,441,869
MAR 21,1.23160,1.23680,1.22835,1.23455,+.00045,1.23265,"214,596","665,795"
APR 21,-,1.23685,1.23020,1.23020,+.00045,1.23360,0,16
JUN 21,1.23375,1.23920,1.23090,1.23695,+.00055,1.23515,489,"1,468"
SEP 21,1.23495,1.24140,1.23375,1.24140,+.00055,1.23765,1,"1,241"
DEC 21,1.24290,1.24380,1.23640,1.24270,+.00055,1.24020,8,"1,745"
MAR 22,-,1.24555,1.23945,1.23945,+.00055,1.24310,0,95
JUN 22,-,-,-,-,+.00075,1.24610,0,189
SEP 22,1.24160,1.24650,1.24160,1.24650,+.00090,1.24915,2,10
DEC 22,-,-,-,-,+.00100,1.25195,0,0
MAR 23,-,-,-,-,+.00120,1.25540,0,0
JUN 23,-,-,-,-,+.00135,1.25975,0,0
SEP 23,-,-,-,-,+.00150,1.26375,0,0
DEC 23,-,-,-,-,+.00170,1.26780,0,0
MAR 24,-,-,-,-,+.00190,1.27185,0,0
JUN 24,-,-,-,-,+.00210,1.27590,0,0
SEP 24,-,-,-,-,+.00225,1.27990,0,0
DEC 24,-,-,-,-,+.00245,1.28395,0,0
MAR 25,-,-,-,-,+.00260,1.28800,0,0
JUN 25,-,-,-,-,+.00275,1.29200,0,0
SEP 25,-,-,-,-,+.00295,1.29605,0,0
DEC 25,-,-,-,-,+.00315,1.30010,0,0
Total,,,,,,,"217,298","673,532"
2,0,2,1,0,1,0,6
